Name,Salary,Team,Position,Opp,Pt/$/K,pOWN%,Floor,Ceil,PMIN,DvPRank,DvP,Points
Bobby Portis,$6.1K,WAS,PF/C,@ LAL,4.63,2.10%,9.88,46.85,26,19,32.37,28.22
Gordon Hayward,$4.8K,BOS,SF/PF,@ CLE,5.85,14.60%,9.92,56.15,28,12,29.95,28.09
Jaylen Brown,$4.9K,BOS,SG/SF,@ CLE,5.66,13.30%,6.29,55.41,28,21,26.35,27.72
Frank Jackson,$5.1K,NOP,PG/SG,ATL,5.41,5.10%,21.86,38.64,34,30,45.52,27.6
Jabari Parker,$6.3K,WAS,SF/PF,@ LAL,4.37,1.70%,5.1,51.55,26,1,27.59,27.55
Shai Gilgeous-Alexander,$5.7K,LAC,PG/SG,@ MIN,4.82,1.40%,19.08,38.44,33,6,19.48,27.46
Fred VanVleet,$5.0K,TOR,PG/SG,CHI,5.49,9.00%,7.44,53.05,29,7,19.58,27.46
Jordan Clarkson,$5.5K,CLE,PG/SG,BOS,4.99,1.30%,9.55,54.83,29,25,28.09,27.43
Larry Nance Jr.,$5.3K,CLE,PF/C,BOS,5.16,2.30%,8.94,50.99,29,15,31.61,27.34
Collin Sexton,$5.9K,CLE,PG,BOS,4.62,2.20%,21.6,38.18,34,11,38.14,27.27
Harrison Barnes,$5.5K,SAC,SF/PF,@ DAL,4.95,2.50%,10.65,43.31,34,7,29.35,27.24
Will Barton,$5.4K,DEN,SG/SF,DET,5.03,1.70%,10.55,46.91,30,7,24.22,27.18
Rudy Gay,$5.4K,SAS,SF/PF,@ CHA,5.03,2.70%,6.63,49.93,26,18,31.1,27.18
Cedi Osman,$5.2K,CLE,SF/PF,BOS,5.21,3.40%,13.4,45.47,34,3,21.63,27.08
Kelly Olynyk,$5.5K,MIA,PF/C,ORL,4.89,1.60%,9.18,43.19,30,2,25.91,26.91
Dwyane Wade,$5.6K,MIA,PG/SG,ORL,4.74,1.50%,8.01,42.79,27,6,24.11,26.53
Marcus Smart,$4.6K,BOS,PG/SG,@ CLE,5.74,12.50%,11.15,43.13,30,27,42.72,26.41
Ryan Arcidiacono,$3.8K,CHI,PG/SG,@ TOR,6.89,31.50%,9.12,52.37,34,19,21.88,26.2
Goran Dragic,$5.4K,MIA,PG,ORL,4.84,1.60%,5.38,43.78,27,12,20.32,26.12
Miles Bridges,$4.7K,CHA,SF/PF,SAS,5.55,11.10%,15.15,36.5,32,22,32.3,26.07
D.J. Augustin,$5.3K,ORL,PG,@ MIA,4.9,2.50%,12.31,46.44,31,13,20.34,25.96
Taurean Prince,$5.2K,ATL,SF,@ NOP,4.96,4.00%,8.1,47.09,30,9,24.8,25.8
Evan Fournier,$5.3K,ORL,SG/SF,@ MIA,4.82,1.60%,9.16,39.91,32,22,23.71,25.52
Nemanja Bjelica,$5.3K,SAC,PF,@ DAL,4.81,3.60%,11.12,43.19,26,7,29.35,25.51
Eric Gordon,$5.4K,HOU,SG/SF,@ MIL,4.7,2.00%,9.12,42.35,31,21,26.91,25.39
Kentavious Caldwell-Pope,$5.0K,LAL,SG/SF,WAS,5.02,1.90%,7.54,49.56,34,30,28.06,25.12
Dario Saric,$4.8K,MIN,PF,LAC,5.23,7.00%,11.1,38.07,27,17,30.9,25.11
Hassan Whiteside,$5.3K,MIA,C,ORL,4.66,1.50%,4.94,49.38,19,25,32.84,24.7
Maxi Kleber,$5.1K,DAL,PF/C,SAC,4.82,2.10%,5.68,49.16,27,25,33.76,24.59
Willie Cauley-Stein,$5.7K,SAC,C,@ DAL,4.31,1.40%,12.62,35.94,23,13,30.69,24.55
Dion Waiters,$4.6K,MIA,SG/SF,ORL,5.33,3.30%,10.28,36.75,30,6,24.11,24.53
Terrence Ross,$5.3K,ORL,SG/SF,@ MIA,4.61,1.90%,5.06,48.86,27,22,23.71,24.44
Gary Harris,$4.5K,DEN,SG,DET,5.28,4.50%,8.45,33.24,30,7,24.22,23.74
Kenrich Williams,$4.2K,NOP,SF/PF,ATL,5.61,9.90%,18.66,32.98,29,30,31.49,23.56
Serge Ibaka,$4.8K,TOR,PF/C,CHI,4.89,2.00%,6.6,42.54,22,24,33.24,23.49
Troy Brown Jr.,$4.7K,WAS,SG/SF,@ LAL,4.97,2.50%,18.89,32.69,28,18,25.97,23.35
Mason Plumlee,$4.8K,DEN,PF/C,DET,4.82,1.30%,6.62,46.24,23,18,31.82,23.13
Lance Stephenson,$3.6K,LAL,SG/SF,WAS,6.42,14.50%,4.62,45.35,25,17,25.57,23.1
Jonathan Isaac,$4.9K,ORL,SF/PF,@ MIA,4.68,0.90%,6.98,41.7,28,20,32.05,22.95
Dwayne Bacon,$4.0K,CHA,SG/SF,SAS,5.66,10.60%,7.78,45.06,31,7,21.16,22.62
Bogdan Bogdanovic,$4.4K,SAC,SG/SF,@ DAL,5.11,1.50%,7.22,44.22,24,19,26.56,22.49
Josh Okogie,$4.5K,MIN,SG/SF,LAC,4.99,1.60%,17.78,31.43,31,5,20.97,22.45
Reggie Jackson,$4.6K,DET,PG/SG,@ DEN,4.86,1.20%,11.9,33.92,25,5,36.7,22.36
Cheick Diallo,$4.1K,NOP,PF/C,ATL,5.44,7.10%,6.76,44.6,20,20,32.22,22.31
